prompt_id,prompt,category,prompt_length,has_style,has_negative,image_path,clip_score,latent_vector
S1,a cat,Simple,2,False,False,outputs/S1.png,0.263671875,[ 0.6577  -0.7065   0.1934  ...  0.2651  -0.03653 -1.01   ]
S2,a car,Simple,2,False,False,outputs/S2.png,0.262939453125,[ 0.7246 -0.4414 -0.6465 ...  0.4858 -0.1119 -0.4707]
S3,a tree,Simple,2,False,False,outputs/S3.png,0.28125,[ 0.1583 -0.9614 -0.2876 ...  0.3074 -0.4055 -1.631 ]
S4,a mountain,Simple,2,False,False,outputs/S4.png,0.291748046875,[-0.1534  -1.322    0.3987  ...  0.04633 -0.6514  -0.616  ]
S5,a person,Simple,2,False,False,outputs/S5.png,0.261962890625,[ 0.138  -0.7056  0.173  ...  0.622  -1.196  -1.658 ]
D1,a white cat sitting on a red pillow in a sunny room,Detailed,12,False,False,outputs/D1.png,0.34326171875,[-0.3633  -0.05032  0.1368  ...  0.1119  -0.2197  -0.0578 ]
D2,a yellow sports car driving through the desert at sunset,Detailed,11,False,False,outputs/D2.png,0.3583984375,[-0.3936 -0.4775 -0.663  ...  0.459  -0.4778 -0.4583]
D3,a snow-covered mountain with a cabin and smoke from the chimney,Detailed,13,False,False,outputs/D3.png,0.33935546875,[-0.785   -0.8945  -0.2434  ...  0.11536 -0.668   -0.72   ]
D4,an old oak tree standing in a foggy forest,Detailed,10,False,False,outputs/D4.png,0.3486328125,[-1.096  -0.6025 -0.3313 ...  0.4854 -0.7935 -1.3125]
D5,a person wearing a red jacket walking in the rain on a city street,Detailed,15,False,False,outputs/D5.png,0.35888671875,[-0.6924 -0.415  -0.1641 ...  0.7354 -0.1735 -1.037 ]
ST1,a gloomy cyberpunk city street,Stylistic,5,True,False,outputs/ST1.png,0.322998046875,[-0.6323 -0.781  -0.4805 ...  0.3093 -0.4446 -1.083 ]
ST2,a peaceful lake surrounded by autumn trees,Stylistic,7,True,False,outputs/ST2.png,0.3251953125,[-0.568   -1.383   -0.05707 ...  0.7554  -0.2408  -1.     ]
ST3,a cheerful child playing in a flower field,Stylistic,8,True,False,outputs/ST3.png,0.3896484375,[-0.1572  -0.544    0.376   ...  0.5835  -0.01749 -0.6484 ]
ST4,a lonely cat staring out a rainy window,Stylistic,9,True,False,outputs/ST4.png,0.35546875,[-0.4106 -0.5273 -0.5522 ...  1.015   0.4097 -0.6416]
ST5,a dramatic stormy sky over an abandoned house,Stylistic,9,True,False,outputs/ST5.png,0.36669921875,[-0.6416 -0.4607 -0.523  ...  0.687  -0.5054 -0.604 ]
A1,a landscape in the style of Van Gogh,ArtStyle,8,True,False,outputs/A1.png,0.329833984375,[-0.509   -0.637   -0.06287 ...  0.795   -0.8135  -0.9185 ]
A2,a portrait of a woman in the style of Picasso,ArtStyle,10,True,False,outputs/A2.png,0.35009765625,[-1.083  -0.647   0.2245 ...  0.8613 -0.662  -0.5874]
A3,a cityscape in the style of Studio Ghibli,ArtStyle,9,True,False,outputs/A3.png,0.309326171875,[-0.537  -0.8145 -0.459  ...  0.502  -0.2637 -0.838 ]
A4,a forest scene in watercolor style,ArtStyle,6,True,False,outputs/A4.png,0.334716796875,[-0.3914 -0.853  -0.819  ...  0.5693 -0.1768 -1.35  ]
A5,a dog painted like a Renaissance artwork,ArtStyle,8,True,False,outputs/A5.png,0.3310546875,[ 0.1381  -0.587   -0.3845  ...  0.515    0.01071 -0.2634 ]
N1,"a cat, low quality, blurry",Negative,5,False,True,outputs/N1.png,0.2275390625,[-0.1306 -0.2229 -0.0867 ...  0.2338  0.1528 -0.6577]
N2,"a car, poorly rendered, distorted",Negative,5,False,True,outputs/N2.png,0.306396484375,[-0.1907 -0.3333 -0.1274 ...  0.3867 -0.3767 -0.1329]
N3,"a mountain, messy composition, overexposed",Negative,6,False,True,outputs/N3.png,0.285888671875,[-0.2336 -1.109  -0.1666 ...  0.302   0.1549 -0.272 ]
N4,"a person, bad anatomy, unrealistic face",Negative,6,False,True,outputs/N4.png,0.31689453125,[-0.413   -1.059   -0.2798  ...  0.11847 -0.525   -0.9307 ]
N5,"a tree, low resolution, pixelated",Negative,6,False,True,outputs/N5.png,0.346923828125,[-0.3179 -0.4766 -0.4246 ...  0.0867 -0.506  -1.248 ]
