prompt_id,prompt_text,category,has_style,has_negative,group_id,group_order,length
G1_1,a cat,Simple,False,False,G1,1,2
G1_2,a fluffy cat under the table,Detailed,False,False,G1,2,3
G1_3,a cinematic cat,Stylistic,True,False,G1,3,3
G1_4,a cat in ukiyo-e style,ArtStyle,True,False,G1,4,5
G1_5,a pixelated cat,Negative,False,True,G1,5,3
G2_1,a dog,Simple,False,False,G2,1,2
G2_2,a fast dog in a park,Detailed,False,False,G2,2,3
G2_3,a dreamy dog,Stylistic,True,False,G2,3,3
G2_4,a dog in cyberpunk style,ArtStyle,True,False,G2,4,5
G2_5,a warped dog,Negative,False,True,G2,5,3
G3_1,a car,Simple,False,False,G3,1,2
G3_2,a classic car in the London street,Detailed,False,False,G3,2,3
G3_3,a moody car,Stylistic,True,False,G3,3,3
G3_4,a car in cyberpunk style,ArtStyle,True,False,G3,4,5
G3_5,a ugly car,Negative,False,True,G3,5,3
G4_1,a mountain,Simple,False,False,G4,1,2
G4_2,a mountain in Scotland under a rainy sky,Detailed,False,False,G4,2,3
G4_3,a fantasy mountain,Stylistic,True,False,G4,3,3
G4_4,a mountain in cyberpunk style,ArtStyle,True,False,G4,4,5
G4_5,a grainy mountain,Negative,False,True,G4,5,3
G5_1,a forest,Simple,False,False,G5,1,2
G5_2,a wet forest in El Yunque in Puerto Rico,Detailed,False,False,G5,2,3
G5_3,a fantasy forest,Stylistic,True,False,G5,3,3
G5_4,a forest in watercolor style,ArtStyle,True,False,G5,4,5
G5_5,a grainy forest,Negative,False,True,G5,5,3
G6_1,a robot,Simple,False,False,G6,1,2
G6_2,an apron-wearing housekeeping robot,Detailed,False,False,G6,2,3
G6_3,a dreamy robot,Stylistic,True,False,G6,3,3
G6_4,a robot in ukiyo-e style,ArtStyle,True,False,G6,4,5
G6_5,a glitched robot,Negative,False,True,G6,5,3
G7_1,a person,Simple,False,False,G7,1,2
G7_2,a massive person,Detailed,False,False,G7,2,3
G7_3,a dreamy person,Stylistic,True,False,G7,3,3
G7_4,a person in van Gogh style,ArtStyle,True,False,G7,4,6
G7_5,a grainy person,Negative,False,True,G7,5,3
G8_1,a city,Simple,False,False,G8,1,2
G8_2,a sunlit city with Empire State Building,Detailed,False,False,G8,2,3
G8_3,a elegant city,Stylistic,True,False,G8,3,3
G8_4,a city in ukiyo-e style,ArtStyle,True,False,G8,4,5
G8_5,a deformed city,Negative,False,True,G8,5,3
G9_1,a desert,Simple,False,False,G9,1,2
G9_2,a lot of deserts with English breakfast tea,Detailed,False,False,G9,2,3
G9_3,a gothic desert,Stylistic,True,False,G9,3,3
G9_4,a desert in watercolor style,ArtStyle,True,False,G9,4,5
G9_5,a low resolution desert,Negative,False,True,G9,5,4
G10_1,a ocean,Simple,False,False,G10,1,2
G10_2,a wide ocean with mermaids,Detailed,False,False,G10,2,3
G10_3,a elegant ocean,Stylistic,True,False,G10,3,3
G10_4,a ocean in ukiyo-e style,ArtStyle,True,False,G10,4,5
G10_5,a mutated ocean,Negative,False,True,G10,5,3
G11_1,a food,Simple,False,False,G11,1,2
G11_2,a mouth-watering food with a glass of orange juice,Detailed,False,False,G11,2,3
G11_3,a cinematic food,Stylistic,True,False,G11,3,3
G11_4,a food in cyberpunk style,ArtStyle,True,False,G11,4,5
G11_5,a low resolution food,Negative,False,True,G11,5,4
G12_1,a flower,Simple,False,False,G12,1,2
G12_2,a red flower in a white vase,Detailed,False,False,G12,2,3
G12_3,a gothic flower,Stylistic,True,False,G12,3,3
G12_4,a flower in van Gogh style,ArtStyle,True,False,G12,4,6
G12_5,a distorted flower,Negative,False,True,G12,5,3
G13_1,a bird,Simple,False,False,G13,1,2
G13_2,a fluffy bird singing on the tree,Detailed,False,False,G13,2,3
G13_3,a gothic bird,Stylistic,True,False,G13,3,3
G13_4,a bird in van Gogh style,ArtStyle,True,False,G13,4,6
G13_5,a distorted bird,Negative,False,True,G13,5,3
G14_1,a castle,Simple,False,False,G14,1,2
G14_2,a glass castle with dancing Queen and King,Detailed,False,False,G14,2,3
G14_3,a cinematic castle,Stylistic,True,False,G14,3,3
G14_4,a castle in van Gogh style,ArtStyle,True,False,G14,4,6
G14_5,a warped castle,Negative,False,True,G14,5,3
G15_1,a rain,Simple,False,False,G15,1,2
G15_2,a heavy rain in the city,Detailed,False,False,G15,2,3
G15_3,a gothic rain,Stylistic,True,False,G15,3,3
G15_4,a rain in van Gogh style,ArtStyle,True,False,G15,4,6
G15_5,a glitched rain,Negative,False,True,G15,5,3
G16_1,a train,Simple,False,False,G16,1,2
G16_2,a fast train,Detailed,False,False,G16,2,3
G16_3,a dreamy train,Stylistic,True,False,G16,3,3
G16_4,a train in van Gogh style,ArtStyle,True,False,G16,4,6
G16_5,a mutated train,Negative,False,True,G16,5,3
G17_1,a street,Simple,False,False,G17,1,2
